Nome,Telefone,Endereço,Avaliação,Avaliações,Site,Categoria,Campanha
Barbearia Jaques do corte,,"
Av. Geraldo Magela Rosa - Joaíma, MG, 39890-000",5.0,0,,Barbearia,Barbearia - Joaíma
Barbearia inove,"
(33) 98891-3309","
Rua delisvar alves, 120, R. dos Ipês, 2, Joaíma - MG, 39890-000",5.0,0,,Barbearia,Barbearia - Joaíma
Barbearia império do corte,,"
MG-105, 15 - Joaíma, MG, 39890-000",5.0,0,,Barbearia,Barbearia - Joaíma
Barbearia rd do corte,"
(33) 99993-9023","
R. Delisvar Alves - Ipe 1, Joaíma - MG, 39890-000",5.0,0,,Barbearia,Barbearia - Joaíma
Barbearia Central | GR Store - Roupas masculinas,"
(35) 99818-1799","
R. do Rosário - Centro, Jesuânia - MG, 37485-000",4.7,0,,Barbearia,Barbearia - Jesuânia
Kewão Barber shop,"
(35) 99743-4792","
R. Pres. Tancredo de Almeida Neves - Centro, Jesuânia - MG, 37485-000",0.0,0,,Barbearia,Barbearia - Jesuânia
Barbearia Anderson Xavier,"
(33) 99977-2922","
Av. do Descobrimento - São Miguel, Jequitinhonha - MG, 39960-000",4.9,0,,Barbearia,Barbearia - Jequitinhonha
Barbearia II irmãos,"
(73) 99803-2701","
R. Paulo VI - Jequitinhonha, MG, 39960-000",4.9,0,http://wa.me/5573998032701,Barbearia,Barbearia - Jequitinhonha
Andim Barber shop,,"
R. Pedro Álvares Cabral, 661 - Jequitinhonha, MG, 39960-000",4.9,0,,Barbearia,Barbearia - Jequitinhonha
Barbearia na Garagem,"
(33) 99817-8439","
R. Uruguai, 31 - Jequitinhonha, MG, 39960-000",4.9,0,,Barbearia,Barbearia - Jequitinhonha
Mendes barbershop,"
(33) 99910-4654","
R. Teófilo Otoní - Jequitinhonha, MG, 39960-000",4.9,0,,Barbearia,Barbearia - Jequitinhonha
DANIEL BARBEARIA,"
(33) 99955-3727","
R. das Margaridas, 51 - Jequitinhonha, MG, 39960-000",4.9,0,,Barbearia,Barbearia - Jequitinhonha
Barbearia Lucas Soares,"
(33) 99971-8169","
Av. Dr. Franco Duarte, 385 - Centro, Jequitinhonha - MG, 39960-000",4.9,0,,Barbearia,Barbearia - Jequitinhonha
BARBEARIA M'Andrade,,"
MG-238, 270 - Jequitibá, MG, 35703-106",4.7,0,,,Barbearia - Jequitibá
Salão do lp,"
(31) 99529-4490","
R. Sebastião Gonçalves - Jequitibá, MG, 35767-000",4.7,0,,Barbearia,Barbearia - Jequitibá
Barbearia Seu Alex,"
(33) 99931-3524","
R. Cap. Carlos Heringuer, Heringer, n 19 - loja 1 - centro, Alto Jequitibá - MG, 36976-000",4.7,0,,Barbearia,Barbearia - Jequitibá
Barbearia Aurum,"
(33) 98833-7549","
Avenida Catarina, R. Cely Mattos Eller, 898, Alto Jequitibá - MG, 36976-000",4.7,0,https://bit.ly/41lh0U0,Barbearia,Barbearia - Jequitibá
Barbearia do Célio,,"
Jequitibá, MG, 35767-000",4.7,0,,Barbearia,Barbearia - Jequitibá
Alle Barber,"
(33) 99989-9885","
Av. Catarina Eler - Eller, Alto Jequitibá - MG, 36976-000",4.7,0,,Barbearia,Barbearia - Jequitibá
Barbearia Jullio's,"
(31) 99541-0772","
Rua dicel Martins Figueiredo - Beira rio, Jequitibá - MG, 35767-000",4.7,0,,Barbearia,Barbearia - Jequitibá
Barbearia Vaguel,"
(31) 99924-3181","
R. Padre José Gonçalves, 363 - Jequitibá, MG, 35767-000",4.7,0,,Barbearia,Barbearia - Jequitibá
Barbearia Trindade,"
(31) 97182-2176","
MG-238, 951 - Jequitibá, MG, 35767-000",4.7,0,,Barbearia,Barbearia - Jequitibá
Júnior`s Cortes,"
(31) 99797-5944","
referência ao lado do super star - R. Gonçalves Pena - Centro, Jequeri - MG, 35390-000",5.0,0,,,Barbearia - Jequeri
barbearia willian,"
(31) 98328-3227","
R. Artur Damásio, 75 - Jequeri, MG, 35390-000",5.0,0,,Barbearia,Barbearia - Jequeri
Barbearia do Yandertton,"
(31) 99567-6531","
R. Gonçalves Pena - Centro, Jequeri - MG, 35390-000",5.0,0,,Barbearia,Barbearia - Jequeri
IVYSSON DU CORTE,,"
Tv. Profa. Meire Jaqueline de Matosinhos Soares - Jeceaba, MG, 35498-000",5.0,0,,Barbearia,Barbearia - Jeceaba
Salão e Barbearia Do Pedro,,"
R. Agostinho Ribeiro, 95 - Centro, Jeceaba - MG, 35498-000",5.0,0,,Barbearia,Barbearia - Jeceaba
Styllo's Barbearia,,"
Av. Brasilino Cardoso Machado, 20 - Jeceaba, MG, 35498-000",5.0,0,,Barbearia,Barbearia - Jeceaba
Barbearia Vini Sanches,"
(31) 98328-2151","
R. Antônio Isidóro Dias, 52 - Jeceaba, MG, 35498-000",5.0,0,,Barbearia,Barbearia - Jeceaba
Barbearia Conde,,"
Rua Joaquim José Lopes, R. Paralela, Japaraíba - MG",5.0,0,,Barbearia,Barbearia - Japaraíba
Barbearia Golden Shop,"
(37) 98802-0599","
R. Nossa Sra. do Rosário, 01 - Centro, Japaraíba - MG, 35580-000",5.0,0,,Barbearia,Barbearia - Japaraíba
Chaves BarberShop & Beer,"
(37) 98838-3036","
Rua Jose R. Jose, R. Sebastião Marciano, 356 - Sao Jose, Japaraíba - MG, 35580-000",5.0,0,,Barbearia,Barbearia - Japaraíba
ALESSANDRO BARBEARIA,,"
R. Cícero Tôrres, 246C - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
PACHECO DO CORTE,,"
Av. Mal. Euríco Gáspar Dutra, 273 - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Cristal Line Barbearia,,"
R. Itapiracaba, 659 - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
JUNINHO BARBEARIA,,"
Av. Cônego Ramiro Leite, 1189 - Vl Jussara, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Barbearia do edy,"
(38) 99112-7763","
Av. Um - Januária, MG, 39480-000",5.0,0,,Cabeleireiro,Barbearia - Januária
Salão Corte Nobre,"
(38) 99889-8477","
R. José Nunes, 197 A - São Vicente, Januária - MG, 39480-000",5.0,0,https://www.instagram.com/barbearia_santiago.ofc/,Salão de Beleza,Barbearia - Januária
Barbearia AdrielDoCorte,"
(38) 99900-2952","
Rua londres, R. José Teixeira Bastos, N°435, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Barbearia Pereira do Corte,"
(38) 98428-2948","
Rua:c, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Barbearia DN corte's,,"
Av. Cel. Cassiano, N° 830 - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Barbearia Terapia de Tety,"
(38) 99262-7753","
Av. Cônego Ramiro Leite, 1500 - Vila Brasilandia, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Ronny Cabeleireiro,"
(38) 99948-4093","
R. Cel. Serrão, 644 - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Ribeiro's Barber Shop,,"
Av. Mal. Euríco Gáspar Dutra, 163 - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Almarty Barber Shop,"
(38) 98866-4587","
R. Barão de São Romão, 1850 - Jardim Estrela, Januária - MG, 39480-000",5.0,0,https://wa.me/5538988664587,Barbearia,Barbearia - Januária
Rodrigues Barber Shop,,"
R. Cícero Tôrres, 246C - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
TetoBarber,"
(38) 99748-2228","
R. Cesário Alvin, 103 - Centro, Januária - MG, 39480-000",5.0,0,https://minhaagenda.digital/TeToBarber/,Barbearia,Barbearia - Januária
Barbearia Alecrim,,"
R. Montes Claros, 256 - Ceramica, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Juninho Barbearia,"
(38) 99935-7195","
Av. Cônego Ramiro Leite, 1530 - Vila Brasilandia, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
BARBEARIA 13 DE ABRIL BARBESHOP,"
(31) 99582-5296","
R. Olibrio Lima, 47 - São Vicente, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Dom Nobre Barber club,"
(38) 99174-9718","
R. Cel. Serrão, 910 - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Barbearia WS do Corte,"
(38) 99940-4761","
R. Bem Bom - Centro, Januária - MG, 39480-000",5.0,0,https://instagram.com/w.s_docorte?igshid=YmMyMTA2M2Y=,Barbearia,Barbearia - Januária
BARBEARIA WN CORTES,"
(38) 99820-8435","
R. São Geraldo, 250A - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Barbearia 2d_do_corte005,"
(38) 99881-7425","
R. Benedito Alves Ferreira, 815 - Januária, MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Rafa barber shop,"
(61) 99882-1189","
Rua santilino montealto 239 - Vila Levianopolis, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
JR BARBEARIA,"
(38) 99159-9025","
Av. Cônego Ramiro Leite, 309 - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Barbearia Liliu Cortes,"
(38) 99229-8309","
R. Pedro Ferreira, 34 - Januária, MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
BARBEARIA CORTA PRA MIM,"
(38) 98409-5191","
R. Itapiracaba, 257 - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Barbearia Novo Visual,"
(38) 99741-7992","
Av. Cônego Ramiro Leite, 800 - Centro, Januária - MG, 39480-000",5.0,0,https://barbearia-novo-visual-mg.ueniweb.com/?utm_campaign=gmb,Barbearia,Barbearia - Januária
Jp Barbearia,"
(38) 99181-8575","
R. B, 206 - Boa Vista, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
BarbeariaSoares,,"
Rua Nicolau Lopes de Oliveira N:97a, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Estudio_F_Barbearia,"
(38) 98827-2136","
Av. Cônego Ramiro Leite, 1667 - Eldorado, Januária - MG, 39480-000",5.0,0,https://www.instagram.com/estudio_f_barbearia?igsh=MXh0Z3hxanpzZzkxdw%3D%3D&utm_source=qr,Barbearia,Barbearia - Januária
Gutierrez Barbearia,"
(38) 99258-8493","
R. Hermílio Tupiná, 515 - Jadete, Januária - MG, 39480-000",5.0,0,https://booksy.com/pt-br/instant-experiences/widget/288657,Barbearia,Barbearia - Januária
Club da Barba,"
(38) 99148-2832","
Av. Cel. Cassiano, 780 - Centro, Januária - MG, 39480-000",5.0,0,http://clubdabarba.simplesagenda.com.br/,Barbearia,Barbearia - Januária
BARBEARIA CARRANCAS,"
(38) 98811-2331","
Praça Dom Daniel, 99 - Loja 112 - Segundo piso - Centro, Januária - MG, 39480-000",5.0,0,,Barbearia,Barbearia - Januária
Barbearia Pikachu,,"
R. Cel. Serrão, 409 - loja 1 - Centro, Januária - MG, 39480-000",5.0,0,https://www.instagram.com/barbearia.pikachu/,Barbearia,Barbearia - Januária
D'Souza Barber,"
(38) 99152-2230",,5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Alves,"
(38) 99128-5482","
Santa Terezinha, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
IMPERIUM BARBER,,"
Av. Castelo Branco, 41A - Nova Porteirinha, MG, 39525-000",5.0,0,,Barbearia,Barbearia - Janaúba
BARBEARIA LINO,,"
Janaúba, MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Salão Miss. Bell,"
(38) 99143-7877","
R. Mato Grosso, 306 - Santo Antônio, Janaúba - MG, 39440-000",5.0,0,,Salão de Beleza,Barbearia - Janaúba
Jhony Cabeleireiro,"
(38) 99121-7026","
Av. da Saudade, 1240A - Saudade, Janaúba - MG, 39440-000",5.0,0,,Salão de Beleza,Barbearia - Janaúba
Barbearia alves,,"
R. Josefa Fernandes da Silva - Rio Novo, Janaúba - MG, 39440-206",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Borges,,"
Av. Gentil Dias, 447 - Rio Novo, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
PABLO DANNIEL BARBEARIA,,"
Av. Gentil Dias, 1827 - Janaúba, MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia soneca do corte,,"
R. 1, 115 - Gameleira, Janaúba - MG, 39442-222",5.0,0,,Barbearia,Barbearia - Janaúba
Samuel Barber,,"
Av. Pedro Álvares Cabral, 408 - Veredas, Janaúba - MG, 39440-065",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Souza,,"
Av. Manoel Athaide, 2318 - Santa Cruz, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia styllos,"
(38) 99261-7482","
R. Amazonas - Dente grande, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Lá Barbearia,"
(38) 99206-0678","
Av. Castelo Branco, 127 - Centro, Nova Porteirinha - MG, 39525-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Nunesz,"
(38) 99125-4279","
306, Janaúba - MG, 39444-192",5.0,0,https://www.instagram.com/nunesz_barber?igsh=M3IydjU5cnhleW9r&utm_source=qr,Barbearia,Barbearia - Janaúba
GUI Barbearia & Outlet,"
(38) 99102-0091","
R. Profa. Antonieta Bahia, 408 - Res. Dona Lindu, Janaúba - MG, 39447-800",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Don Cândido,"
(38) 99219-9774","
R. Campina Grande, 521 - Gameleira, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia castro,"
(38) 99191-2645","
Av. Militão José dos Santos, 2629 - Algodões I, Janaúba - MG, 39445-442",5.0,0,,Barbearia,Barbearia - Janaúba
BOSS BARBEARIA,"
(38) 98425-1436","
Rua Joaquim da Costa brito, Av. Ecológica, 120 - Esplanada, Janaúba - MG, 39445-216",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Cantuária,"
(38) 99124-4128","
Rua Sérgio Pereira 766 bairro Santa Cruz - Izaías Pereira, Janaúba - MG, 39440-000",5.0,0,https://online.maapp.com.br/BarbeariaCantuaria,Barbearia,Barbearia - Janaúba
Corpus Cosméticos e Perfumaria,"
(38) 99808-3652","
Av. Manoel Athaide, 347 - Centro, Janaúba - MG, 39445-054",5.0,0,https://www.corpuscosmeticos.com.br/,Loja de cosmético,Barbearia - Janaúba
BARBEARIA Cândido,,"
Av. Osvaldo Cruz, 562 - Padre Eustáquio, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Stillus,"
(38) 99110-6910","
Av. Ecológica, 120 - 40-156 - Esplanada, Janaúba - MG, 39440-000",5.0,0,http://www.facebook.com/guilherme.bsantos,Barbearia,Barbearia - Janaúba
Jailson barbearia,"
(38) 99179-5757","
Av. Manoel Athaide, número 653 - São Gonçalo, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Iago Barbearia,"
(38) 99829-0111","
Av. dos Inconfidentes - Janaúba, MG, 39445-036",5.0,0,,Barbearia,Barbearia - Janaúba
Vinicius BARBER SHOP,,"
R. Mato Grosso, 441 - Santa Cruz, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Do Luan,"
(38) 99231-0938","
Av. Castelo Branco, 136 - Centro, Nova Porteirinha - MG, 39525-000",5.0,0,,Barbearia,Barbearia - Janaúba
Havelly Barber,"
(38) 98831-2997","
R. J, 117a - Izaías Pereira, Janaúba - MG, 39447-582",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Borges,"
(38) 99247-6114","
Av. Hermes de Paula, 93 - Rio Novo, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Nunes,"
(38) 99865-1105","
R. Jasmin, 321 - Res. Clarita, Janaúba - MG, 39444-228",5.0,0,https://www.instagram.com/flaviobarber1/,Barbearia,Barbearia - Janaúba
Barbearia Pires43,"
(38) 99121-8762","
R. Honório Antônio de Farias - Veredas, Janaúba - MG, 39440-140",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Hugo Gui,"
(38) 99100-6621","
R. Altíno G. Barbosa, 1276 - Ribeirão do Ouro, Janaúba - MG, 39445-660",5.0,0,,Barbearia,Barbearia - Janaúba
Studio Mr ROMA,"
(38) 99190-5347","
R. Eça de Queiroz, n:50 - Veredas, Janaúba - MG, 39440-029",5.0,0,https://wa.me/553891905347,Barbearia,Barbearia - Janaúba
Barbearia Madrid,"
(38) 99151-0241","
R. Inhumas, 668 - Centro, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Rona Cabeleireiro,"
(38) 99129-1110","
Av. da Saudade, 1240b - Saudade, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Apex Barber | Barbeiro visagista,"
(38) 99747-5522","
Av. Castelo Branco, 127 - Nova Porteirinha, MG, 39525-000",5.0,0,,Barbearia,Barbearia - Janaúba
Seu Lucca Barbearia,"
(38) 99136-8410","
R. Neco Tiburtino, 408 - Dente Grande, Janaúba - MG, 39445-430",5.0,0,https://telejan.com/cartoes.php?d=sau_est&sd=cab_bar&sc=Cabelereiro%20/%20Barberaria#cards,Barbearia,Barbearia - Janaúba
Salao Ideal Marizon,"
(38) 99146-7146","
R. Sérgio Pereira, 639 - Santa Cruz, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Gap Barbershop Barbearia e Salão Masculino,"
(38) 99140-9841","
R. São João da Ponte, 9 - Centro, Janaúba - MG, 39440-000",5.0,0,https://instagram.com/gapbarbershop?utm_source=ig_profile_share&igshid=5ayv8lk0hddo,Barbearia,Barbearia - Janaúba
DIOGO BARRETO BARBEARIA,"
(38) 99188-7943","
Av. Osvaldo Cruz, 598 - Padre Eustáquio, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Lima,"
(38) 99120-2774","
R. Mato Grosso, 1014 - Santa Cruz, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Baldaia_do_corte,"
(38) 99828-2702","
R. São João da Ponte, 680 - Centro, Janaúba - MG, 39440-000",5.0,0,http://baldaia-do-corte.webnode.com/,Barbearia,Barbearia - Janaúba
BARBEIRA DO SAN,"
(38) 99839-9610","
R. Virgílio de Melo Franco - Centro, Janaúba - MG",5.0,0,,Barbearia,Barbearia - Janaúba
Jp barbearia,"
(38) 99243-1728","
Rua Osvaldo Aranha, 75 - Padre Eustáquio, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Fábio Cabeleireiro barbershop,"
(38) 99115-1215","
R. Honório Antônio de Farias - Veredas, Janaúba - MG, 39440-140",5.0,0,,Barbearia,Barbearia - Janaúba
Marcos J Barbearia,"
(38) 99870-0836","
R. João XXIII, 33 - Centro, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia João domingos Cardoso,,"
R. Antonino Antunes, 517 - Gameleira, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Zulu Du Corte,"
(38) 99194-8887","
R. Salgado Filho, 47 - Centro, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Jr barbearia,"
(38) 99169-4184","
R. Mato Grosso, 1019 - Santa Cruz, Janaúba - MG, 39440-000",5.0,0,https://instagram.com/jr_barbeariajanauba?igshid=16l3e20lkk89,Barbearia,Barbearia - Janaúba
.,"
(38) 99935-6997","
Av. Pres. Kennedy, 614 - Esplanada, Janaúba - MG, 39445-132",5.0,0,http://barbearianared.site/,Barbearia,Barbearia - Janaúba
Barbearia VIKINGS,,"
R. Jayme Aurélio Rocha, 97 - Jardim Imperial, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Nared,"
(38) 99197-2296","
Av. Pres. Kennedy, 614 - Esplanada, Janaúba - MG, 39445-132",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Amsterdam,"
(38) 99176-0187","
Av. Santa Mônica, 1760 - Planalto, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Black style barbearia,"
(38) 99228-3782","
R. Belo Horizonte, 201 - Padre Eustáquio, Janaúba - MG, 39442-242",5.0,0,,Barbearia,Barbearia - Janaúba
GARAGEM Barber Club,"
(38) 99731-1390","
Av. da Saudade, 1580 - Santo Antônio, Janaúba - MG, 39447-190",5.0,0,,Barbearia,Barbearia - Janaúba
Império Barbearia Premium,"
(38) 99976-7777","
Av. Brasil, 350 - Centro, Janaúba - MG, 39442-010",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Sampaio,"
(38) 99108-4886","
R. Filomena Barbosa da Fonseca, 215 - Veredas, Janaúba - MG, 39440-031",5.0,0,https://barbeariasampaio_jan.sualojaonline.app/,Barbearia,Barbearia - Janaúba
Samantha e Paulo - Barbearia em Janaúba,"
(38) 99132-4577","
R. Cirílo Barbosa, 122 - Centro, Janaúba - MG, 39442-014",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Charm'S,"
(38) 99735-2610","
R. Grão Mogol, 359 - Padre Eustáquio, Janaúba - MG, 39442-302",5.0,0,,Barbearia,Barbearia - Janaúba
BARBEARIA URBANU'S JANAUBA (MG),"
(38) 99173-7804","
R. Felisberto Antunes - Centro, Janaúba - MG, 39447-236",5.0,0,,Barbearia,Barbearia - Janaúba
Barbearia Dantas,"
(38) 99160-2477","
Av. Brasil, 775 - Centro, Janaúba - MG, 39440-000",5.0,0,,Barbearia,Barbearia - Janaúba
Rick New Barber Oficial Janauba-MG,"
(38) 99121-0778","
R. João XXIII, 49 - São Gonçalo, Janaúba - MG, 39445-048",5.0,0,https://minhaagenda.qrmidia.digital/rick,Barbearia,Barbearia - Janaúba
Rodrigues Barbearia,"
(33) 98700-1745","
R. Raimundo Maciel, 284 - Cuparaque, MG, 35246-000",4.9,0,,,Barbearia - Jampruca
BARBEARIA CADMO’S - MARUJA,"
(27) 99952-2190","
Av. Munir Abud, 1015 - Praia do Morro, Guarapari - ES, 29216-045",4.9,0,https://linktr.ee/Barbeariacadmos?utm_source=linktree_profile_share&ltsid=f5f9e1ce-7830-46c3-8eea-893538bcc6b3,Barbearia,Barbearia - Jampruca
RENATO BARBEARIA,,"
R. João Luís da Silva, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
XIZAILTON BARBER SHOP,,"
R. Ediston Alves de Souza, 19, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
Salao barbearia rua:H,"
(38) 99895-5395","
R. H, 230 - Cidade Nova, Jaíba - MG, 39508-000",5.0,0,,Lounge bar,Barbearia - Jaíba
Universo do corte barber shop,"
(38) 99846-9613","
Av.c - Av. Cel. Moacir José da Silva, n:1177 - Centro, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
Victor Barbearia,"
(38) 98839-1504","
R. Frutuoso Germano Bezerra, 92, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
BarbershopZ,"
(38) 99190-2617","
Rua Ângelo Alves Santos, n:57, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
BARBEARIA VANDER,,"
Av. João Teixeira, 1487, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
Webert Barber Shop,"
(38) 99235-9539","
Av. Valdemar Domingues Santos, 245A - Veredas, Jaíba - MG, 39508-000",5.0,0,https://instagram.com/webert_barber_shop,Barbearia,Barbearia - Jaíba
Barbearia do Marcos,"
(38) 99854-8130","
Av. Cel. Moacir José da Silva, Jaíba - MG, 39508-959",5.0,0,http://wa.me/5538998548130,Barbearia,Barbearia - Jaíba
Barbearia toyadias artes,"
(38) 99208-5763","
R. Pres. Vargas, 902 - Centro, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
DAN BARBEARIA,,"
R. da Bahia, 716 - Jaiba, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
Danbarberock,"
(38) 99996-3650","
Av. Arimates Antunes de Bem, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
Toninho Barbearia,"
(38) 99140-4170","
Av. Cel. Moacir José da Silva, 223, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
RUHAN BARBER,,"
R. João Luís da Silva, 339, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
Jv barbearia,"
(38) 98809-6973","
R. Monte Azul, 57 - Centro, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
Barbearia do Tiago,,"
R. Elói de Oliveira, 535, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
LUCAS BARBER SHOP,"
(38) 99189-2365","
Av. Arimates Antunes de Bem, 955, Jaíba - MG, 39508-000",5.0,0,https://lucasbarbershop.ageenda.com.br/,Barbearia,Barbearia - Jaíba
Phellipe Barber,"
(38) 99134-3845","
R. Pres. Vargas, 1351, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
XANDY BARBER SHOP,"
(38) 99113-9317","
R: DA TRANSNORTE PONTO DE TAXI Rua: Vitorino Luís da Silva, 356 Centro, Jaíba - MG, 39508-000",5.0,0,,Barbearia,Barbearia - Jaíba
Xarada Barber Shop,"
(38) 99258-2318","
Rua Caetano Fernandes Ribeiro, 238 - Centro, Jaíba - MG, 39508-000",5.0,0,https://www.instagram.com/xaradabarbershop/,Barbearia,Barbearia - Jaíba
Garage barber shop,"
(31) 99105-3050","
R. Minas Gerais, 17 - Lagoa de Pau, Jaguaraçu - MG, 35188-000",5.0,0,,Barbearia,Barbearia - Jaguaraçu
Neneco Barber Shop,"
(31) 98295-5684","
R. Gov. Valadares - Jaguaraçu, MG, 35188-000",5.0,0,,Barbearia,Barbearia - Jaguaraçu
Bhals Barber Shop,"
(31) 99678-7418","
Br 381 - Lagoa de Pau, Jaguaraçu - MG, 35188-000",5.0,0,,Barbearia,Barbearia - Jaguaraçu
Barbearia Silvieri,"
(35) 99992-2744",,4.9,0,,Barbearia,Barbearia - Jacutinga
Donna Bella Centro De Beleza,"
(35) 99727-2341","
R. Américo Prado, 679 - Jacutinga, MG, 37590-000",4.9,0,,Escritório da empresa,Barbearia - Jacutinga
Studio L,"
(35) 99765-7063","
R. Afonso Pena, 516 - Jacutinga, MG, 37590-000",4.9,0,,Salão de Beleza,Barbearia - Jacutinga
Barbearia Bodão,,"
R. João Pessoa, 1688 - Jacutinga, MG, 37590-000",4.9,0,,Cabeleireiro,Barbearia - Jacutinga
La Rúbia,"
(35) 3443-3648","
Av. Minas Gerais, 394 - Jacutinga, MG, 37590-000",4.9,0,,Salão de Beleza,Barbearia - Jacutinga
barbearia martins,"
(38) 99999-3711","
R. Darci Matile, n° 394 - Jacutinga, MG, 37590-000",4.9,0,,Barbearia,Barbearia - Jacutinga
Pâmela Ferreira Centro de Beleza (Point Hair),"
(35) 3443-5035","
R. Santo Antonio, 657 - Centro, Jacutinga - MG, 37590-000",4.9,0,,Cabeleireiro,Barbearia - Jacutinga
Daniel Barbeiro,,"
R. Barão do Rio Branco, 87 - Jacutinga, MG, 37590-000",4.9,0,,Barbearia,Barbearia - Jacutinga
